Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Timestamp,VWAP_Proxy,trailing_pe,forwardPE,Adj Close
2016-01-01 00:00:00-05:00,70.12936545357195,71.81112478619765,64.36093042943361,66.51358032226562,116132500.0,0.0,0.0,LLY,2016-01-01 00:00:00-05:00,67.56187851263229,44.44483,24.288536,
2016-02-01 00:00:00-05:00,65.76520511889976,66.56404473843092,59.22316162657565,60.54334259033203,104141400.0,0.51,0.0,LLY,2016-02-01 00:00:00-05:00,64.98441833868698,44.44483,24.288536,
2016-03-01 00:00:00-05:00,61.4984294889763,63.462856627101786,57.47643374177296,60.97345733642578,117690200.0,0.0,0.0,LLY,2016-03-01 00:00:00-05:00,63.47070735231806,44.44483,24.288536,
2016-04-01 00:00:00-04:00,60.62626281574797,66.4687392801601,60.56699158689495,63.95393371582031,76178000.0,0.0,0.0,LLY,2016-04-01 00:00:00-04:00,63.50611873610768,44.44483,24.288536,
2016-05-01 00:00:00-04:00,64.30957004632039,66.64656224960994,62.099589482572284,63.530574798583984,86471000.0,0.51,0.0,LLY,2016-05-01 00:00:00-04:00,63.60735995422735,44.44483,24.288536,
2016-06-01 00:00:00-04:00,63.84405301776715,67.17689666164418,61.26131071111498,67.1257553100586,103820000.0,0.0,0.0,LLY,2016-06-01 00:00:00-04:00,63.87885527460082,44.44483,24.288536,
2016-07-01 00:00:00-04:00,67.24505679178395,71.2512877988947,66.80181678588879,70.65461730957031,74204300.0,0.0,0.0,LLY,2016-07-01 00:00:00-04:00,64.50105950639727,44.44483,24.288536,
2016-08-01 00:00:00-04:00,70.76542368208558,71.42176770498389,66.08580382479133,66.27333068847656,69795200.0,0.51,0.0,LLY,2016-08-01 00:00:00-04:00,64.82054308720362,44.44483,24.288536,
2016-09-01 00:00:00-04:00,66.69562110218607,69.8781380568799,65.58045054306422,68.8487548828125,76069900.0,0.0,0.0,LLY,2016-09-01 00:00:00-04:00,65.12333679057065,44.44483,24.288536,
2016-10-01 00:00:00-04:00,68.62571701226943,71.40505671876201,63.30722656168191,63.34153366088867,81948700.0,0.0,0.0,LLY,2016-10-01 00:00:00-04:00,65.20421426800935,44.44483,24.288536,
2016-11-01 00:00:00-04:00,63.31578930645486,68.3683563394517,55.054972380738,57.576969146728516,165677600.0,0.51,0.0,LLY,2016-11-01 00:00:00-04:00,64.45152539967174,44.44483,24.288536,
2016-12-01 00:00:00-05:00,58.100813125453506,64.3175715071156,56.6934098779082,63.505943298339844,132236600.0,0.0,0.0,LLY,2016-12-01 00:00:00-05:00,64.12807400958293,44.44483,24.288536,
2017-01-01 00:00:00-05:00,63.84267341232949,67.45184822346437,63.49729654002877,66.51069641113281,97538800.0,0.0,0.0,LLY,2017-01-01 00:00:00-05:00,64.25482931685922,44.44483,24.288536,
2017-02-01 00:00:00-05:00,67.25324830256245,72.0798746701331,66.09624346056911,71.5013656616211,67246200.0,0.52,0.0,LLY,2017-02-01 00:00:00-05:00,64.53172480401027,44.44483,24.288536,
2017-03-01 00:00:00-05:00,72.53017617687995,74.87714703741608,70.73083008197638,73.1125717163086,82512500.0,0.0,0.0,LLY,2017-03-01 00:00:00-05:00,65.00776678711188,44.44483,24.288536,
2017-04-01 00:00:00-04:00,73.12995839078899,75.38131805491695,69.4356479984488,71.33061218261719,83464000.0,0.0,0.0,LLY,2017-04-01 00:00:00-04:00,65.39060521967177,44.44483,24.288536,
2017-05-01 00:00:00-04:00,71.35670506807004,72.24334348060668,66.80183847283628,69.16619873046875,85369500.0,0.52,0.0,LLY,2017-05-01 00:00:00-04:00,65.60202431454354,44.44483,24.288536,
2017-06-01 00:00:00-04:00,69.63904254900797,74.15333553226094,68.89541087764361,72.00117492675781,79728400.0,0.0,0.0,LLY,2017-06-01 00:00:00-04:00,65.8871930448234,44.44483,24.288536,
2017-07-01 00:00:00-04:00,72.09742359084616,74.82699038576507,70.66264291508378,72.3161392211914,72197500.0,0.0,0.0,LLY,2017-07-01 00:00:00-04:00,66.16070957680321,44.44483,24.288536,
2017-08-01 00:00:00-04:00,72.49110274167396,72.74481365173693,67.26817287599587,71.11756896972656,74937400.0,0.52,0.0,LLY,2017-08-01 00:00:00-04:00,66.33173568431819,44.44483,24.288536,
2017-09-01 00:00:00-04:00,71.79125763597791,75.3746571133973,69.59895844363302,75.31302642822266,69671900.0,0.0,0.0,LLY,2017-09-01 00:00:00-04:00,66.58967174293778,44.44483,24.288536,
2017-10-01 00:00:00-04:00,75.52435124236474,78.43861356206693,71.9497570942895,72.1434555053711,80740900.0,0.0,0.0,LLY,2017-10-01 00:00:00-04:00,66.8963282551705,44.44483,24.288536,
2017-11-01 00:00:00-04:00,72.34596612482476,75.26023567015007,71.68563418125991,74.52066040039062,54835400.0,0.52,0.0,LLY,2017-11-01 00:00:00-04:00,67.08135223007886,44.44483,24.288536,
2017-12-01 00:00:00-05:00,75.29251229803909,78.93397717023731,74.58370743532394,74.831787109375,68633000.0,0.0,0.0,LLY,2017-12-01 00:00:00-05:00,67.37368519885989,44.44483,24.288536,
2018-01-01 00:00:00-05:00,74.83179491514268,78.26062814972066,72.00544384881876,72.16492462158203,94853500.0,0.0,0.0,LLY,2018-01-01 00:00:00-05:00,67.66345459238941,44.44483,24.288536,
2018-02-01 00:00:00-05:00,72.24467351338907,73.5648158729065,65.28955246266702,68.23993682861328,118797100.0,0.563,0.0,LLY,2018-02-01 00:00:00-05:00,67.73305616136278,44.44483,24.288536,
2018-03-01 00:00:00-05:00,68.78350916446644,71.845116547023,66.5073913463974,69.06021881103516,88213300.0,0.0,0.0,LLY,2018-03-01 00:00:00-05:00,67.78418778876367,44.44483,24.288536,
2018-04-01 00:00:00-04:00,68.622811713694,74.58535619296188,67.30177279880942,72.36279296875,86521000.0,0.0,0.0,LLY,2018-04-01 00:00:00-04:00,67.90941899028802,44.44483,24.288536,
2018-05-01 00:00:00-04:00,72.01470325309315,75.9689069737379,68.8102775044125,75.90642547607422,86813000.0,0.563,0.0,LLY,2018-05-01 00:00:00-04:00,68.09841101589689,44.44483,24.288536,
2018-06-01 00:00:00-04:00,76.573640985522,78.43405670323502,75.81869285980946,76.69048309326172,71309100.0,0.0,0.0,LLY,2018-06-01 00:00:00-04:00,68.335845353788,44.44483,24.288536,
2018-07-01 00:00:00-04:00,76.447826687438,89.15617671949263,76.13326492564103,88.8056640625,78835300.0,0.0,0.0,LLY,2018-07-01 00:00:00-04:00,68.80549958688928,44.44483,24.288536,
2018-08-01 00:00:00-04:00,88.74273990460168,95.70806549848666,87.93386201263525,94.95311737060547,78294400.0,0.563,0.0,LLY,2018-08-01 00:00:00-04:00,69.4723339022853,44.44483,24.288536,
2018-09-01 00:00:00-04:00,95.17056793218723,97.45697403109018,93.67943831625794,96.9780044555664,68632500.0,0.0,0.0,LLY,2018-09-01 00:00:00-04:00,70.10246047895082,44.44483,24.288536,
2018-10-01 00:00:00-04:00,97.3033320732726,105.38257458358703,94.14031853144938,97.99919891357422,112530300.0,0.0,0.0,LLY,2018-10-01 00:00:00-04:00,71.19074675606403,44.44483,24.288536,
2018-11-01 00:00:00-04:00,98.27034849042258,107.28042310561506,94.84525452256638,107.2171630859375,100551200.0,0.563,0.0,LLY,2018-11-01 00:00:00-04:00,72.22401730242514,44.44483,24.288536,
2018-12-01 00:00:00-05:00,107.7569466699009,108.84686581876309,95.97670613519132,105.10480499267578,100232100.0,0.0,0.0,LLY,2018-12-01 00:00:00-05:00,73.1956201688354,44.44483,24.288536,
2019-01-01 00:00:00-05:00,104.26013074639654,109.11936531348536,100.90861812398052,108.86505126953125,101289300.0,0.0,0.0,LLY,2019-01-01 00:00:00-05:00,74.20915395385079,44.44483,24.288536,
2019-02-01 00:00:00-05:00,109.28284480490986,116.04944106784873,106.14023722568277,114.70520782470703,284950800.0,0.645,0.0,LLY,2019-02-01 00:00:00-05:00,77.22984379482365,44.44483,24.288536,
2019-03-01 00:00:00-05:00,116.20354700421015,120.65992324610153,111.37276610016461,118.49565124511719,659367000.0,0.0,0.0,LLY,2019-03-01 00:00:00-05:00,83.37208672956538,44.44483,24.288536,
2019-04-01 00:00:00-04:00,119.36320993437226,119.94765165712197,103.78416566737134,106.8798828125,117712500.0,0.0,0.0,LLY,2019-04-01 00:00:00-04:00,84.0948181386181,44.44483,24.288536,
2019-05-01 00:00:00-04:00,106.88900107051994,109.15371067380454,103.98505363641449,105.87535858154297,92251200.0,0.645,0.0,LLY,2019-05-01 00:00:00-04:00,84.55465287476738,44.44483,24.288536,
2019-06-01 00:00:00-04:00,107.01111769021685,109.22425755309703,101.03289223701717,101.73999786376953,85961400.0,0.0,0.0,LLY,2019-06-01 00:00:00-04:00,84.92214116472637,44.44483,24.288536,
